step,mode,current_altitude_ft,selected_altitude_ft,target_speed_kts,cmd_mode,cmd_vs_fpm,cmd_speed_kts,distance_to_next_nm
353,CLIMB,8825,10000,280,CLIMB,1500,280,70.3941
354,CLIMB,8850,10000,280,CLIMB,1500,280,68.6561
355,CLIMB,8875,10000,280,CLIMB,1500,280,66.9182
356,CLIMB,8900,10000,280,CLIMB,1500,280,65.1802
357,CLIMB,8925,10000,280,CLIMB,1500,280,63.4423
358,CLIMB,8950,10000,280,CLIMB,1500,280,61.7043
359,CLIMB,8975,10000,280,CLIMB,1500,280,59.9664
360,CLIMB,9000,10000,280,CLIMB,1500,280,58.2284
361,CLIMB,9025,10000,280,CLIMB,1500,280,56.4905
362,CLIMB,9050,10000,280,CLIMB,1500,280,54.7525
363,CLIMB,9075,10000,280,CLIMB,1500,280,53.0146
364,CLIMB,9100,10000,280,CLIMB,1500,280,51.2766
365,CLIMB,9125,10000,280,CLIMB,1500,280,49.5387
366,CLIMB,9150,10000,280,CLIMB,1500,280,47.8007
367,CLIMB,9175,10000,280,CLIMB,1500,280,46.0628
368,CLIMB,9200,10000,280,CLIMB,1500,280,44.3248
369,CLIMB,9225,10000,280,CLIMB,1500,280,42.5869
370,CLIMB,9250,10000,280,CLIMB,1500,280,40.8489
371,CLIMB,9275,10000,280,CLIMB,1500,280,39.111
372,CLIMB,9300,10000,280,CLIMB,1500,280,37.373
373,CLIMB,9325,10000,280,CLIMB,1500,280,35.6351
374,CLIMB,9350,10000,280,CLIMB,1500,280,33.8971
375,CLIMB,9375,10000,280,CLIMB,1500,280,32.1592
376,CLIMB,9400,10000,280,CLIMB,1500,280,30.4212
377,CLIMB,9425,10000,280,CLIMB,1500,280,28.6832
378,CLIMB,9450,10000,280,CLIMB,1500,280,26.9453
379,CLIMB,9475,10000,280,CLIMB,1500,280,25.2073
380,CLIMB,9500,10000,280,CLIMB,1500,280,23.4694
381,CLIMB,9525,10000,280,CLIMB,1500,280,21.7314
382,CLIMB,9550,10000,280,CLIMB,1500,280,19.9935
383,CLIMB,9575,10000,280,CLIMB,1500,280,18.2555
384,CLIMB,9600,10000,280,CLIMB,1500,280,16.5176
385,CLIMB,9625,10000,280,CLIMB,1500,280,14.7796
386,CLIMB,9650,10000,280,CLIMB,1500,280,13.0417
387,CLIMB,9675,10000,280,CLIMB,1500,280,11.3037
388,CLIMB,9700,10000,280,CLIMB,1500,280,9.56578
389,CLIMB,9725,10000,280,CLIMB,1500,280,7.82783
390,CLIMB,9750,10000,280,CLIMB,1500,280,6.08988
391,CLIMB,9775,10000,280,CLIMB,1500,280,4.35193
392,CLIMB,9800,10000,280,CLIMB,1500,280,2.61397
393,CLIMB,9825,10000,280,CLIMB,1500,280,0.876023
394,CLIMB,9850,10000,280,CLIMB,1500,280,-0.861929
395,CLIMB,9875,10000,280,CLIMB,1500,280,-2.59988
396,ALT_CAP,9900,10000,280,ALT_CAP,500,280,-4.33783
397,ALT_CAP,9908.33,10000,280,ALT_CAP,300,280,-6.07578
398,ALT_CAP,9913.33,10000,280,ALT_CAP,300,280,-7.81374
399,ALT_CAP,9918.33,10000,280,ALT_CAP,300,280,-9.55169
400,ALT_CAP,9923.33,10000,280,ALT_CAP,300,280,-11.2896
401,ALT_CAP,9928.33,10000,280,ALT_CAP,300,280,-13.0276
402,ALT_CAP,9933.33,10000,280,ALT_CAP,300,280,-14.7655
